Player,Team,Number,Position,Height,Weight,Last Attended,Country,Image
preciousachiuwa,TOR,5.0,F,6-8,243 lbs,Memphis,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png
stevenadams,MEM,4.0,C,6-11,265 lbs,Pittsburgh,New Zealand,https://cdn.nba.com/headshots/nba/latest/260x190/203500.png
bamadebayo,MIA,13.0,C-F,6-9,255 lbs,Kentucky,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png
ochaiagbaji,UTA,30.0,G,6-5,215 lbs,Kansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630534.png
santialdama,MEM,7.0,F-C,7-0,215 lbs,Loyola-Maryland,Spain,https://cdn.nba.com/headshots/nba/latest/260x190/1630583.png
nickeilalexander-walker,MIN,9.0,G,6-5,205 lbs,Virginia Tech,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629638.png
graysonallen,PHX,8.0,G,6-4,198 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png
jarrettallen,CLE,31.0,C,6-9,243 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628386.png
josealvarado,NOP,15.0,G,6-0,179 lbs,Georgia Tech,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630631.png
kyleanderson,MIN,1.0,F-G,6-9,230 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203937.png
giannisantetokounmpo,MIL,34.0,F,6-11,243 lbs,Filathlitikos,Greece,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png
thanasisantetokounmpo,MIL,43.0,F,6-7,219 lbs,Panathinaikos,Greece,https://cdn.nba.com/headshots/nba/latest/260x190/203648.png
coleanthony,ORL,50.0,G,6-2,185 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630175.png
oganunoby,TOR,3.0,F,6-7,240 lbs,Indiana,United Kingdom,https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png
ryanarcidiacono,NYK,51.0,G,6-3,195 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627853.png
deniavdija,WAS,8.0,F,6-9,210 lbs,Maccabi Tel Aviv,Israel,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png
deandreayton,POR,2.0,C,7-0,247 lbs,Arizona,Bahamas,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png
udokaazubuike,PHX,27.0,C-F,6-11,270 lbs,Kansas,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1628962.png
marvinbagley iii,DET,35.0,F,6-10,235 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png
amaribailey,CHA,10.0,G,6-3,185 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png
patrickbaldwin jr.,WAS,7.0,F,6-9,220 lbs,Wisconsin-Milwaukee,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631116.png
lameloball,CHA,1.0,G,6-7,180 lbs,,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png
lonzoball,CHI,2.0,G,6-6,190 lbs,UCLA,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628366.png
mobamba,PHI,7.0,C,7-0,231 lbs,Texas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png
paolobanchero,ORL,5.0,F,6-10,250 lbs,Duke,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png
desmondbane,MEM,22.0,G,6-5,215 lbs,TCU,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png
dalanobanton,BOS,45.0,F,6-8,204 lbs,Nebraska,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png
dominickbarlow,SAS,26.0,F,6-9,215 lbs,,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png
harrisonbarnes,SAC,40.0,F,6-8,225 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png
scottiebarnes,TOR,4.0,F,6-7,237 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png
rjbarrett,NYK,9.0,F-G,6-6,214 lbs,Duke,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png
charlesbassey,SAS,28.0,C-F,6-10,230 lbs,Western Kentucky,Nigeria,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png
emonibates,CLE,21.0,F,6-8,170 lbs,Eastern Michigan,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png
keitabates-diop,PHX,21.0,F,6-8,229 lbs,Ohio State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png
nicolasbatum,PHI,40.0,G-F,6-8,230 lbs,Le Mans,France,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png
bradleybeal,PHX,3.0,G,6-4,207 lbs,Florida,USA,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png
malikbeasley,MIL,5.0,G,6-4,187 lbs,Florida State,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png
marjonbeauchamp,MIL,3.0,F,6-7,199 lbs,NBA G League Ignite,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png
charlesbediako,SAS,27.0,C,7-0,225 lbs,Alabama,Canada,https://cdn.nba.com/headshots/nba/latest/260x190/1641777.png
davisbertans,OKC,9.0,F,6-10,225 lbs,Baskonia,Latvia,https://cdn.nba.com/headshots/nba/latest/260x190/202722.png
patrickbeverley,PHI,22.0,G,6-2,180 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/201976.png
saddiqbey,ATL,41.0,G-F,6-7,215 lbs,Villanova,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png
gogabitadze,ORL,35.0,C-F,6-10,250 lbs,Mega Basket,Georgia,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png
onuralpbitim,CHI,17.0,F,6-6,215 lbs,,Turkey,https://cdn.nba.com/headshots/nba/latest/260x190/1641931.png
bismackbiyombo,MEM,18.0,C,6-8,255 lbs,Baloncesto Fuenlabrada,DRC,https://cdn.nba.com/headshots/nba/latest/260x190/202687.png
anthonyblack,ORL,0.0,G,6-7,200 lbs,Arkansas,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png
leakyblack,CHA,12.0,F,6-6,209 lbs,North Carolina,USA,https://cdn.nba.com/headshots/nba/latest/260x190/1641778.png
bogdanbogdanovic,ATL,13.0,G,6-5,225 lbs,Fenerbahce,Serbia,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png
bojanbogdanovic,DET,44.0,F,6-7,226 lbs,Fenerbahce,Croatia,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png
